Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2025-11-01,Agartala,,,India,Min Temp,High,25.7,25.1,2020-11-04,Month,1969-01-01,16,42724
2025-11-01,Erode,,,India,Max Temp,High,36.6,36.2,1998-11-18,Month,1997-01-01,173,43338
2025-11-01,Jalpaiguri,,,India,Rain,24hrs,169,92.7,1924-11-08,Month,1914-01-01,83,42399
2025-11-01,Khajuraho,,,India,Min Temp,High,23.4,22.8,1979-11-17,Month,1970-01-01,221,42567
2025-11-01,Lucknow,,,India,Min Temp,High,21.9,21.6,2009-11-14,Month,1969-01-01,128,42369
2025-11-01,Malda,,,India,Rain,24hrs,120.4,77,1995-11-10,Month,1938-01-01,31,42503
2025-11-01,Pilani,,,India,Min Temp,High,20.7,19.3,2022-11-08,Month,1969-01-01,300,42174
2025-11-01,Shahjahanpur,,,India,Min Temp,High,21.2,20.8,2024-11-01,Month,1977-01-01,155,42266
2025-10-31,Gandhinagar,,,India,Rain,24hrs,61,33,2013-10-09,Month,1974-01-01,81,42654
2025-10-31,Kalimpong,,,India,Max Temp,Low,16.5,22,,Month,1969-01-01,1209,42296
2025-10-31,Ratlam,,,India,Max Temp,Low,23.2,9,,Month,1969-01-01,486,42661
2025-10-31,Supaul,,,India,Max Temp,Low,22.6,23,1980-10-21,Month,1969-01-01,50,42393
2025-10-31,Surat,,,India,Max Temp,Low,26,12,,Month,1969-01-01,8,42840
2025-10-31,Ujjain,,,India,Max Temp,Low,22.5,23,2025-10-29,Month,1969-01-01,489,42662
2025-10-30,Barabanki,,,India,Max Temp,Low,22.5,23,2014-10-14,Month,1989-01-01,118,42370
2025-10-30,Fursatganj,,,India,Max Temp,Low,23.2,24.4,2014-10-14,Month,2005-01-01,110,42372
2025-10-30,Hanamkonda,,,India,Rain,24hrs,225.6,146,1995-10-18,Month,1903-01-01,266,43087
2025-10-30,Jhansi,,,India,Max Temp,Low,22,22.1,2015-10-28,Month,1969-01-01,258,42463
2025-10-30,Nowgong,,,India,Max Temp,Low,22.5,23.6,1985-10-10,Month,1969-01-01,229,42467
2025-10-30,Tikamgarh,,,India,Max Temp,Low,22.8,23,2025-10-27,Month,1969-01-01,330,42562
2025-10-29,Ujjain,,,India,Max Temp,Low,23,23.6,1985-10-10,Month,1969-01-01,489,42662
2025-10-28,Agra (Taj),,,India,Max Temp,Low,21.4,22.5,1985-10-08,Month,1969-01-01,160,42259
2025-10-28,Ajmer,,,India,Max Temp,Low,21,21.9,1975-10-25,Month,1969-01-01,486,42343
2025-10-28,Alibag,,,India,Max Temp,Low,25.1,26.2,1988-10-04,Month,1969-01-01,7,43058
2025-10-28,Bhilwara,,,India,Max Temp,Low,19.6,21.1,2025-10-27,Month,1969-01-01,421,42447
